Model,Prompt Type,Run ID,Started At,Ended At,Total Hours,Accuracy,Precision,Recall,F1
falcon3:10b-instruct-q8_0,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_ONLY_falcon3:10b-instruct-q8_0_2025-01-07,2025-01-07 20:11:35.727526,2025-01-07 21:57:25.511574,1.7666666666666666,77.44916820702403,80.29896512073591,95.6184390689183,87.29166666666667
falcon3:10b-instruct-q8_0,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_falcon3:10b-instruct-q8_0_2025-01-09,2025-01-09 09:04:32.764473,2025-01-09 10:49:20.862514,1.75,75.12038523274478,85.59670781893004,85.98989435002296,85.79285059578369
qwen2.5:14b,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_qwen2.5:14b_2025-01-09,2025-01-09 14:23:46.605781,2025-01-10 11:18:25.689706,20.916666666666668,91.64578111946533,92.26240538267452,99.27601809954751,95.640802092415
qwen2.5:14b,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_ONLY_qwen2.5:14b_2025-01-10,2025-01-10 15:43:16.241136,2025-01-10 17:31:31.069528,1.8,91.56223893065997,92.25589225589226,99.18552036199095,95.5952900130833
gemma2:9b-instruct-q5_K_M,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_gemma2:9b-instruct-q5_K_M_2025-01-10,2025-01-10 19:30:59.584749,2025-01-11 02:51:01.563723,7.35,65.53571428571429,65.67253206084104,99.68311453146221,79.18015102481122
gemma2:9b-instruct-q5_K_M,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_ONLY_gemma2:9b-instruct-q5_K_M_2025-01-11,2025-01-11 12:51:18.250436,2025-01-11 14:04:42.394574,1.2166666666666666,64.61267605633803,64.74566304028228,99.68311453146221,78.50267379679144
phi3.5:3.8b-mini-instruct-q8_0,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_phi3.5:3.8b-mini-instruct-q8_0_2025-01-11,2025-01-11 15:56:11.274097,2025-01-11 23:20:45.647382,7.4,76.37969094922738,79.93839045051982,94.49248975876195,86.60826032540676
phi3.5:3.8b-mini-instruct-q8_0,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_ONLY_phi3.5:3.8b-mini-instruct-q8_0_2025-01-12,2025-01-12 10:57:26.119096,2025-01-12 17:22:00.203525,6.416666666666667,79.24598730869728,81.62245290272972,96.45615629259427,88.42149104539774
phi4:14b,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_phi4:14b_2025-01-12,2025-01-12 19:32:22.835584,2025-01-13 20:07:02.435486,24.583333333333332,83.2189168573608,84.05238828967643,98.82246376811594,90.84096586178185
phi4:14b,MATCHING_PROMPT,8192_max_MATCHING_PROMPT_ONLY_phi4:14b_2025-01-13,2025-01-13 23:52:15.696510,2025-01-14 04:41:22.973481,4.816666666666666,81.4100185528757,81.89622993654349,99.27601809954751,89.75250562487216
falcon3:10b-instruct-q8_0,SELECTING_PROMPT,8192_max_SELECTING_PROMPT_falcon3:10b-instruct-q8_0_2025-01-30,2025-01-30 20:42:07.650113,2025-01-30 23:04:45.920079,2.3666666666666667,92.14092140921409,96.3172804532578,95.50561797752809,95.90973201692525
phi3.5:3.8b-mini-instruct-q8_0,SELECTING_PROMPT,8192_max_SELECTING_PROMPT_phi3.5:3.8b-mini-instruct-q8_0_2025-01-31,2025-01-31 09:42:13.577500,2025-01-31 18:02:47.259987,8.333333333333334,74.25474254742548,96.14035087719299,76.53631284916202,85.22550544323484
qwen2.5:14b,SELECTING_PROMPT,8192_max_SELECTING_PROMPT_qwen2.5:14b_2025-03-26,2025-03-26 22:51:10.477676,2025-03-27 01:16:10.194995,2.4166666666666665,98.87082204155375,99.68123861566485,99.18441323062981,99.43220531455825
phi4:14b,SELECTING_PROMPT,8192_max_SELECTING_PROMPT_phi4:14b_2025-04-19,2025-04-19 12:48:24.055107,2025-04-19 22:51:08.690891,10.05,98.32881662149956,99.17995444191344,99.13479052823315,99.15736734229105
gemma2:9b-instruct-q5_K_M,SELECTING_PROMPT,8192_max_SELECTING_PROMPT_gemma2:9b-instruct-q5_K_M_2025-01-30,2025-01-30 16:06:31.245967,2025-01-30 20:37:05.250907,4.516666666666667,89.47606142728094,99.59778783308195,89.80054397098822,94.44576877234803
